City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
69,Bredasdorp,ZA,-34.5322,20.0403,67.32,83,53,8.05,broken clouds
70,Leczna,PL,51.3012,22.8814,44.91,93,75,18.41,broken clouds
71,Valdivia,CL,-39.8142,-73.2459,71.69,30,86,2.1,light rain
72,Plainview,US,40.7765,-73.4673,47.68,58,0,9.22,clear sky
73,Jardim,BR,-21.4803,-56.1381,94.55,17,0,3.15,clear sky
74,Laguna,US,38.421,-121.4238,77.65,52,0,3.44,clear sky
75,Tomatlan,MX,19.9333,-105.25,88.39,23,0,11.34,clear sky
76,Palauig,PH,15.435,119.9045,77.13,71,9,4.45,clear sky
77,Thompson,CA,55.7435,-97.8558,-0.24,55,20,4.61,few clouds
78,Noyabrsk,RU,63.1994,75.4507,-9.71,93,29,11.41,scattered clouds
79,Nueve De Julio,AR,-35.4444,-60.8831,82.71,39,1,6.78,clear sky
80,Carnarvon,AU,-24.8667,113.6333,77.0,69,0,15.3,clear sky
81,Nanchang,CN,28.6833,115.8833,40.33,86,100,1.92,overcast clouds
82,Dodge City,US,37.7528,-100.0171,60.26,23,0,17.27,clear sky
83,Victoria,HK,22.2855,114.1577,64.94,84,100,5.99,overcast clouds
84,Viedma,AR,-40.8135,-62.9967,84.06,40,97,8.01,overcast clouds
85,Zakamensk,RU,50.3741,103.2863,-3.6,99,100,2.3,overcast clouds
86,Saskylakh,RU,71.9167,114.0833,-9.4,97,43,7.38,scattered clouds
87,Clyde River,CA,70.4692,-68.5914,-18.17,76,75,29.93,snow
88,Faanui,PF,-16.4833,-151.75,81.21,77,16,15.48,light rain
89,Ambilobe,MG,-13.2,49.05,74.57,96,100,2.06,moderate rain
90,Cabo San Lucas,MX,22.8909,-109.9124,83.52,39,0,8.05,clear sky
91,Poli,TZ,-3.3333,36.8,63.37,50,100,4.56,overcast clouds
92,Alyangula,AU,-13.8483,136.4192,82.44,76,72,11.41,broken clouds
93,Cork,IE,51.898,-8.4706,42.64,83,75,5.75,broken clouds
94,Vao,NC,-22.6667,167.4833,80.46,89,100,29.08,moderate rain
95,Bethel,US,41.3712,-73.414,48.02,51,0,9.22,clear sky
96,Moultrie,US,31.1799,-83.7891,64.38,36,0,5.75,clear sky
97,Iqaluit,CA,63.7506,-68.5145,-22.27,67,20,10.36,few clouds
98,Sept-Iles,CA,50.2001,-66.3821,33.06,85,75,10.36,broken clouds
99,Mangrol,IN,21.1167,70.1167,68.04,62,0,14.05,clear sky
100,Cape Town,ZA,-33.9258,18.4232,69.89,79,0,1.14,clear sky
101,East London,ZA,-33.0153,27.9116,70.95,78,1,7.38,clear sky
102,Saldanha,ZA,-33.0117,17.9442,65.14,89,0,6.62,clear sky
103,Pangody,RU,65.85,74.4859,-3.55,96,16,12.24,few clouds
104,Kitimat,CA,54.0524,-128.6534,44.98,30,100,5.57,moderate rain
105,Vardo,NO,70.3705,31.1107,26.8,86,100,17.27,overcast clouds
106,Upernavik,GL,72.7868,-56.1549,-12.28,69,100,8.12,overcast clouds
107,Olafsvik,IS,64.8945,-23.7142,25.97,50,100,10.18,overcast clouds
